part_number,current_draw_mA,S11_dB,S21_dB,S12_dB,S22_dB,timestamp
LNA00240P1,0.0,-0.493,-52.301,-55.427,0.41,2026-07-14T12:33:55
LNA00234P1,82.0,-14.25,34.784,-45.358,-10.726,2026-07-14T12:34:42
LNA00235P1,84.0,-13.459,34.632,-53.201,-11.726,2026-07-14T12:36:03
LNA00239P1,83.0,-12.798,34.409,-50.324,-11.619,2026-07-14T12:40:04
LNA00236P1,86.0,-14.097,34.752,-50.621,-11.256,2026-07-14T12:41:31
LNA00249P2,87.0,-14.508,34.964,-43.659,-10.852,2026-07-14T12:42:12
LNA00244P2,81.0,-13.047,34.728,-48.473,-12.073,2026-07-14T12:42:51
LNA00246P2,83.0,-13.64,34.551,-55.202,-11.454,2026-07-14T12:43:28
LNA00243P2,83.0,-13.172,34.693,-50.318,-11.526,2026-07-14T12:44:06
LNA00245P2,84.0,-14.213,34.824,-53.071,-12.225,2026-07-14T12:44:46
LNA00250P2,84.0,-13.29,34.555,-54.406,-11.986,2026-07-14T12:45:24
LNA00248P2,80.0,-13.076,34.596,-46.23,-11.333,2026-07-14T12:46:21
LNA00241P2,87.0,-14.19,34.815,-53.327,-12.251,2026-07-14T12:47:06
LNA00238P2,82.0,-12.803,34.536,-50.32,-11.843,2026-07-14T12:47:50
LNA00247P2,82.0,-12.625,34.556,-44.15,-12.077,2026-07-14T12:48:29
LNA00237P2,84.0,-13.081,34.516,-48.297,-11.403,2026-07-14T12:49:07
LNA00239P2,84.0,-13.946,34.654,-46.521,-11.521,2026-07-14T12:49:49
LNA00233P2,83.0,-13.241,34.637,-45.841,-11.15,2026-07-14T12:50:34
LNA00242P2,84.0,-12.881,34.583,-46.324,-12.024,2026-07-14T12:51:14
LNA00236P2,82.0,-12.599,34.485,-43.735,-11.479,2026-07-14T12:52:44
LNA00234P2,85.0,-13.757,34.816,-46.527,-11.657,2026-07-14T12:53:23
LNA00240P2,84.0,-14.07,34.803,-51.192,-11.238,2026-07-14T12:53:59
LNA00307P1,80.0,-12.817,34.506,-42.645,-12.012,2026-07-14T13:19:06
LNA00308P1,83.0,-13.174,34.627,-43.48,-10.545,2026-07-14T13:20:28
LNA00309P1,81.0,-13.341,34.648,-45.392,-11.514,2026-07-14T13:21:13
LNA00310P1,83.0,-13.075,34.467,-47.743,-11.613,2026-07-14T13:22:14
LNA00301P1,84.0,-12.882,34.658,-53.199,-11.646,2026-07-14T13:23:08
LNA00311P1,83.0,-12.544,34.397,-55.138,-11.076,2026-07-14T13:23:55
LNA00302P1,85.0,-14.223,34.834,-44.52,-11.512,2026-07-14T13:24:43
LNA00303P1,84.0,-13.276,34.711,-45.297,-12.07,2026-07-14T13:25:30
